,Name,Features,Price
0,Maruti Suzuki Swift Dzire ZXi - 2022,"67,000 kms / Petrol / 1st Owner","₹8,45,000 "
1,Maruti Suzuki Swift Dzire VXi 1.2 BS IV - 2016,"45,000 kms / Petrol","₹5,75,000 "
2,Maruti Suzuki Swift Dzire LDi - 2011,"94,000 kms / Diesel","₹3,35,000 "
3,Maruti Suzuki Swift Dzire VXi - 2013,"1,07,000 kms / Petrol / 2nd Owner","₹3,80,000 "
4,Maruti Suzuki Swift Dzire VXi 1.2 BS IV - 2011,"76,000 kms / Petrol","₹2,50,000 "
5,Maruti Suzuki Swift Dzire ZDi BS IV - 2018,"33,928 kms / Diesel / 1st Owner","₹6,20,000 "
6,Maruti Suzuki Swift Dzire VXi 1.2 BS IV - 2016,"40,000 kms / Petrol","₹4,78,000 "
7,Maruti Suzuki Swift Dzire ZDI AMT - 2017,"55,000 kms / Diesel","₹7,99,000 "
8,Maruti Suzuki Swift Dzire VDi - 2009,"1,40,000 kms / Diesel","₹1,80,000 "
9,Maruti Suzuki Swift Dzire New - 2024,"19,000 kms / Petrol","₹8,00,000 "
10,Maruti Suzuki Swift Dzire VXI AMT - 2008,"79,000 kms / Petrol / 2nd Owner","₹90,000 "
11,Maruti Suzuki Swift Dzire Tour VDi - 2018,"1,15,000 kms / Diesel","₹4,15,000 "
12,Maruti Suzuki Swift Dzire New - 2024,"6,300 kms / CNG / 1st Owner","₹7,80,000 "
13,Maruti Suzuki Swift Dzire VDi - 2014,"1,48,000 kms / Diesel","₹3,32,000 "
14,Maruti Suzuki Swift Dzire VXI AT - 2024,"24,000 kms / CNG","₹3,00,000 "
15,Maruti Suzuki Swift Dzire - 2019,"1,10,000 kms / Diesel","₹4,99,999 "
16,Maruti Suzuki Swift Dzire VXi - 2016,"2,00,000 kms / Petrol / 2nd Owner","₹3,20,000 "
17,Maruti Suzuki Swift Dzire Tour LXi - 2021,"70,000 kms / CNG","₹4,49,000 "
18,Maruti Suzuki Swift Dzire VDi - 2020,"10,000 kms / Hybrid","₹6,00,000 "
19,Maruti Suzuki Swift Dzire Tour LDi - 2019,"2,30,000 kms / Diesel","₹4,50,000 "
20,Maruti Suzuki Swift Dzire Tour VDi - 2022,"1,03,000 kms / CNG","₹6,00,000 "
21,Maruti Suzuki Swift Dzire LDi - 2016,"1,79,000 kms / Diesel","₹2,75,000 "
22,Maruti Suzuki Swift Dzire Tour LXi - 2017,"1,70,000 kms / Diesel / 2nd Owner","₹4,15,000 "
23,Maruti Suzuki Swift Dzire Tour LDi - 2017,"1,54,023 kms / Diesel","₹4,65,000 "
